Date,Open,High,Low,Close
2016-04-28,26078.28,26100.54,25561.17,25603.1
2016-04-29,25612.91,25755.43,25424.03,25606.62
2016-05-02,25565.44,25565.44,25341.14,25436.97
2016-05-03,25500.14,25705.96,25192.94,25229.7
2016-05-04,25210.87,25245.7,25061.04,25101.73
2016-05-05,25187.66,25394.1,25162.94,25262.21
2016-05-06,25223.67,25260.48,25057.93,25228.5
2016-05-09,25321.83,25709.68,25302.86,25688.86
2016-05-10,25682.98,25809.93,25614.24,25772.53
2016-05-11,25548.97,25762.49,25409.24,25597.02
2016-05-12,25684.6,25827.03,25620.27,25790.22
2016-05-13,25739.94,25743.69,25400.27,25489.57
2016-05-16,25528.8,25688.46,25351.62,25653.23
2016-05-17,25756.14,25927.31,25733.76,25773.61
2016-05-18,25671.48,25747,25503.4,25704.61
2016-05-19,25713.84,25714.56,25351.99,25399.72
2016-05-20,25428.42,25506.06,25251.9,25301.9
2016-05-23,25447.72,25519.26,25207.78,25230.36
2016-05-24,25256.97,25340.47,25181.47,25305.47
2016-05-25,25432.1,25897.87,25430.59,25881.17
2016-05-26,26008.25,26398.94,25941.51,26366.68
2016-05-27,26415.93,26677.43,26405.28,26653.6
2016-05-30,26694.75,26794.96,26623.33,26725.6
2016-05-31,26817.75,26837.2,26561.58,26667.96
2016-06-01,26684.46,26857.25,26671.86,26713.93
2016-06-02,26694.28,26885.16,26641.02,26843.14
2016-06-03,26919.23,27008.14,26792.07,26843.03
2016-06-06,26897.84,26901.42,26729.54,26777.45
2016-06-07,26833.54,27082.63,26829.53,27009.67
2016-06-08,27085.24,27105.41,26973.71,27020.66
2016-06-09,26994.48,26994.91,26692.35,26763.46
2016-06-10,26742.26,26972.06,26620.5,26635.75
2016-06-13,26468.27,26468.27,26262.27,26396.77
2016-06-14,26482.5,26485.45,26264.81,26395.71
2016-06-15,26500.79,26752.59,26446.59,26726.34
2016-06-16,26686.03,26686.03,26314.91,26525.46
2016-06-17,26653.85,26730.55,26538.51,26625.91
2016-06-20,26497.11,26885.49,26447.88,26866.92
2016-06-21,26907.42,26925.64,26754.6,26812.78
2016-06-22,26791.68,26887.29,26617.45,26765.65
2016-06-23,26753.2,27060.98,26736.52,27002.22
2016-06-24,26367.48,26435.85,25911.33,26397.71
2016-06-27,26347.81,26493.51,26262.72,26402.96
2016-06-28,26410.66,26583.33,26378.46,26524.55
2016-06-29,26627.15,26776.17,26606.31,26740.39
2016-06-30,26926.17,27069.23,26872.59,26999.72
2016-07-01,27064.33,27243.36,27061.4,27144.91
2016-07-04,27314.44,27385.66,27251.06,27278.76
2016-07-05,27340.72,27348.66,27127.3,27166.87
2016-07-07,27209.97,27288.22,27146.95,27201.49
2016-07-08,27292.2,27294.82,27034.14,27126.9
2016-07-11,27358.23,27647.48,27358.23,27626.69
2016-07-12,27667.81,27828.74,27667.81,27808.14
2016-07-13,27912.14,27928.76,27752.14,27815.18
2016-07-14,27857.8,27967.77,27763.15,27942.11
2016-07-15,27966.14,28048.7,27735.87,27836.5
2016-07-18,27920.66,28013.5,27697.69,27746.66
2016-07-19,27790.05,27826.69,27637.98,27787.62
2016-07-20,27775.7,27935.18,27759.71,27915.89
2016-07-21,27980.07,27988.76,27687.54,27710.52
2016-07-22,27721.72,27832.45,27646.21,27803.24
2016-07-25,27753.96,28110.37,27736.51,28095.34
2016-07-26,28121.37,28149.53,27927.13,27976.52
2016-07-27,27976.14,28210.88,27899.93,28024.33
2016-07-28,28108.78,28240.2,28064.9,28208.62
2016-07-29,28232.87,28233.47,28037.87,28051.86
2016-08-01,28083.08,28284.85,27873.53,28003.12
2016-08-02,28069.12,28175.22,27943.91,27981.71
2016-08-03,28008.52,28015.43,27647.14,27697.51
2016-08-04,27899.88,27921.91,27627.97,27714.37
2016-08-05,27810.55,28110.37,27795.74,28078.35
2016-08-08,28181.92,28226.38,28128.06,28182.57
2016-08-09,28289.22,28289.96,27956.77,28085.16
2016-08-10,28133.36,28143.28,27736.62,27774.88
2016-08-11,27805.94,27902.39,27697.33,27859.6
2016-08-12,27919.95,28203.27,27900.91,28152.4
2016-08-16,28190.04,28199.1,27942.65,28064.61
2016-08-17,28061.79,28174.3,27960.14,28005.37
2016-08-18,28077.64,28214.17,28077,28123.44
2016-08-19,28167.66,28212.3,28026.12,28077
2016-08-22,28088.07,28143.28,27918.05,27985.54
2016-08-23,28012.56,28028.98,27854.43,27990.21
2016-08-24,28065.25,28108.39,27959.87,28059.94
2016-08-25,28103.6,28154.21,27803.24,27835.91
2016-08-26,27882.75,27935.88,27696.99,27782.25
2016-08-29,27827.26,27952.85,27698.71,27902.66
2016-08-30,28012.46,28478.02,28010.66,28343.01
2016-08-31,28372.25,28532.25,28363.1,28452.17
2016-09-01,28459.09,28548.85,28386.61,28423.48
2016-09-02,28498.72,28581.58,28427.63,28532.11
2016-09-06,28631.27,29013.4,28631.27,28978.02
2016-09-07,29035.67,29067.84,28911.31,28926.36
2016-09-08,28929.46,29077.28,28854.56,29045.28
2016-09-09,29062.9,29062.9,28755.08,28797.25
2016-09-12,28481.09,28481.11,28251.31,28353.54
2016-09-14,28345.49,28416.41,28259.38,28372.23
2016-09-15,28398.33,28454.02,28311.11,28412.89
2016-09-16,28520.3,28778.64,28494.59,28599.03
2016-09-19,28626.6,28714.77,28552.55,28634.5
2016-09-20,28690.66,28698.81,28480.53,28523.2
2016-09-21,28554.38,28689.36,28462.33,28507.42
2016-09-22,28766.94,28871.92,28693.07,28773.13
2016-09-23,28810.32,28825.09,28627.38,28668.22
2016-09-26,28630.92,28630.92,28272.03,28294.28
2016-09-27,28373.02,28432.74,28179.34,28223.7
2016-09-28,28198.88,28378.56,28198.3,28292.81
2016-09-29,28423.14,28475.57,27719.92,27827.53
2016-09-30,27807.82,27955.21,27716.78,27865.96
2016-10-03,27997.29,28273.02,27919.89,28243.29
2016-10-04,28377.64,28404.7,28242.25,28334.55
2016-10-05,28425.74,28477.65,28188.9,28220.98
2016-10-06,28298.35,28328.56,28031.22,28106.21
2016-10-07,28129.22,28155.68,27964.91,28061.14
2016-10-10,28144.28,28216.64,28068.32,28082.34
2016-10-13,28042.62,28042.62,27563.84,27643.11
2016-10-14,27712.22,27763.54,27548.18,27673.6
2016-10-17,27776.14,27803.21,27488.3,27529.97
2016-10-18,27656.89,28064.39,27652.76,28050.88
2016-10-19,28112.36,28131.07,27926.17,27984.37
2016-10-20,28031.57,28212.5,28031.57,28129.84
2016-10-21,28163.41,28163.41,27957.92,28077.18
2016-10-24,28156.59,28256.65,28075.95,28179.08
2016-10-25,28159.09,28211.41,28013.69,28091.42
2016-10-26,28050.55,28050.55,27759.56,27836.51
2016-10-27,27808.63,27958.13,27665.6,27915.9
2016-10-28,27983.14,28000.14,27789.84,27941.51
2016-10-30,28066.32,28095.71,27890.14,27930.21
2016-11-01,27966.18,28029.8,27845.63,27876.61
2016-11-02,27679.32,27679.32,27500.81,27527.22
2016-11-03,27518.06,27600.74,27399.26,27430.28
2016-11-04,27465.55,27498.91,27193.61,27274.15
2016-11-07,27552.27,27591.15,27398.72,27458.99
2016-11-08,27537.26,27646.84,27406.76,27591.14
2016-11-09,26251.38,27397.38,25902.45,27252.53
2016-11-10,27605.05,27743.46,27457.05,27517.68
2016-11-11,27344.85,27344.85,26777.18,26818.82
2016-11-15,26809.61,26809.61,26253.63,26304.63
2016-11-16,26508.94,26621.4,26239.21,26298.69
2016-11-17,26304.9,26449.87,26155.4,26227.62
2016-11-18,26270.2,26349.02,26106.78,26150.24
2016-11-21,26246.7,26270.28,25717.93,25765.14
2016-11-22,25928.16,26039.7,25765.51,25960.78
2016-11-23,26101.33,26130.49,25877.16,26051.81
2016-11-24,26049.14,26049.14,25810.97,25860.17
2016-11-25,25953.24,26343.95,25874.45,26316.34
2016-11-28,26303.52,26413.99,26183.22,26350.17
2016-11-29,26408.62,26587.07,26354.66,26394.01
2016-11-30,26441.02,26680.55,26395.5,26652.81
2016-12-01,26756.66,26769.32,26540.82,26559.92
2016-12-02,26437.37,26463.06,26182.93,26230.66
2016-12-05,26253.48,26390.8,26125.35,26349.1
2016-12-06,26403.62,26502.43,26356.02,26392.76
2016-12-07,26456.21,26540.83,26164.82,26236.87
2016-12-08,26366.52,26733.87,26357.35,26694.28
2016-12-09,26787.14,26803.76,26707.81,26747.18
2016-12-12,26725.31,26725.31,26468.59,26515.24
2016-12-13,26607.65,26724.97,26494.23,26697.82
2016-12-14,26707.91,26736.34,26547.05,26602.84
2016-12-15,26497.71,26737.86,26407.58,26519.07
2016-12-16,26548.67,26594.55,26455.21,26489.56
2016-12-19,26505.66,26505.66,26340.38,26374.7
2016-12-20,26374.59,26435.56,26241.43,26307.98
2016-12-21,26368.88,26396,26213.51,26242.38
2016-12-22,26224.07,26248.45,25940.14,25979.6
2016-12-23,25959.99,26143.19,25872.38,26040.7
2016-12-26,25992.41,26008.57,25753.74,25807.1
2016-12-27,25815.43,26249.03,25803.19,26213.44
2016-12-28,26243.19,26415.05,26191.72,26210.68
2016-12-29,26429.41,26429.63,26166.67,26366.15
2016-12-30,26441.51,26678.6,26406.53,26626.46
2017-01-02,26711.15,26720.98,26447.06,26595.45
2017-01-03,26616.92,26724.4,26488.37,26643.24
2017-01-04,26677.22,26723.37,26606.06,26633.13
2017-01-05,26738.42,26917.21,26738.42,26878.24
2017-01-06,26929.69,27009.61,26733.33,26759.23
2017-01-09,26860.81,26860.88,26701.18,26726.55
2017-01-10,26811.63,26914.95,26804.17,26899.56
2017-01-11,26978.44,27174.87,26978.44,27140.41
2017-01-12,27171.66,27278.93,27166.69,27247.16
2017-01-13,27378.01,27459.75,27143.07,27238.06
2017-01-16,27238.35,27335.08,27172.68,27288.17
2017-01-17,27331.82,27381.43,27179.19,27235.66
2017-01-18,27261.76,27422.67,27217.65,27257.64
2017-01-19,27253.34,27348.19,27219.89,27308.6
2017-01-20,27232.69,27264.41,27009.81,27034.5
2017-01-23,26990.93,27167.79,26963.58,27117.34
2017-01-24,27170.88,27393.35,27140.85,27375.58
2017-01-25,27462.83,27736.83,27439.68,27708.14
2017-01-27,27761.03,27980.39,27759.48,27882.46
2017-01-30,27866.8,27947.37,27813.32,27849.56
2017-01-31,27867.92,27867.92,27624.54,27655.96
2017-02-01,27669.08,28159.54,27590.1,28141.64
2017-02-02,28167.83,28299.92,28070.81,28226.61
2017-02-03,28270.67,28280.58,28127.18,28240.52
2017-02-06,28340.39,28487.28,28340.39,28439.28
2017-02-07,28443.23,28483.41,28239.12,28335.16
2017-02-08,28386.08,28391.64,28149.08,28289.92
2017-02-09,28349.22,28469.48,28152.18,28329.7
2017-02-10,28367.17,28456.18,28286.8,28334.25
2017-02-13,28450.42,28458.8,28197.38,28351.62
2017-02-14,28386.12,28393.42,28263.45,28339.31
2017-02-15,28270.11,28382.32,28102.23,28155.56
2017-02-16,28223.85,28327.84,28146.19,28301.27
2017-02-17,28670.43,28726.26,28410.91,28468.75
2017-02-20,28481.91,28696.53,28419.27,28661.58
2017-02-21,28716.7,28801,28597.33,28761.59
2017-02-22,28822.4,28963.52,28789.3,28864.71
2017-02-23,28927.67,29065.31,28860.46,28892.97
2017-02-27,28910.5,28961.83,28791.19,28812.88
2017-02-28,28825.19,28876.54,28721.12,28743.32
2017-03-01,28849.04,29029.17,28824.17,28984.49
2017-03-02,29117.38,29145.62,28784.31,28839.79
2017-03-03,28827.5,28860.13,28716.21,28832.45
2017-03-06,28859.21,29070.2,28856.12,29048.19
2017-03-07,29092.16,29098.17,28957.68,28999.56
2017-03-08,29021.06,29022.32,28815.48,28901.94
2017-03-09,28909.7,28986.72,28815.02,28929.13
2017-03-10,29006,29076.63,28851.04,28946.23
2017-03-14,29437.23,29561.93,29356.05,29442.63
2017-03-15,29452.86,29500.08,29358.91,29398.11
2017-03-16,29482.83,29614.79,29482.83,29585.85
2017-03-17,29755.74,29824.62,29601.86,29648.99
2017-03-20,29653.54,29699.48,29482.4,29518.74
2017-03-21,29525.88,29585.05,29380.14,29485.45
2017-03-22,29341.41,29341.41,29137.48,29167.68
2017-03-23,29201.01,29373.79,29198.08,29332.16
2017-03-24,29350.6,29539.85,29350.17,29421.4
2017-03-27,29395.68,29420.7,29163.54,29237.15
2017-03-28,29301.22,29442.18,29301.22,29409.52
2017-03-29,29463.01,29554.39,29439.42,29531.43
2017-03-30,29538.03,29684.54,29521.65,29647.42
2017-03-31,29633.91,29687.64,29552.61,29620.5
2017-04-03,29737.73,29926.94,29705.72,29910.22
2017-04-05,29996.03,30007.48,29817.69,29974.24
2017-04-06,29946.89,29954.25,29817.59,29927.34
2017-04-07,29850.71,29886.12,29668.45,29706.61
2017-04-10,29752.62,29831.32,29553.04,29575.74
2017-04-11,29630.06,29804.51,29570.58,29788.35
2017-04-12,29838.82,29838.82,29549.74,29643.48
2017-04-13,29637.12,29660.48,29442.26,29461.45
2017-04-17,29470.27,29494.08,29363.28,29413.66
2017-04-18,29487.78,29701.19,29286.38,29319.1
2017-04-19,29369.9,29388.25,29241.48,29336.57
2017-04-20,29358.59,29453.06,29341.68,29422.39
2017-04-21,29575.66,29584.34,29259.42,29365.3
2017-04-24,29407.68,29681.33,29392.99,29655.84
